id,title,content,date
1342611,내일업뎃인데 미리보기같은거없음?,ㅇ  - dc official App,2025-06-18 11:56:38
1342610,캐시샾포인트 소멸인줄알고 다써버렸네,근데 어차피 ㅈ과금이라 얼마없어서부캐에 100포인트짜리 말 3마리사줌...ㅋㅋ,2025-06-18 11:56:30
1342609,솔직히 씨발 이겜 쳐접어도,할게 없잖아 씨발이겜 좆 같 아도 이겜 접고 할 게임이 없다니까이거 접고 메1이1플스토리 던전앤파이터 로스1트아크 할거야??????????????????그거 아니라서 이거 붙잡고있는거잖아 씨 발 좆같아도 할게 없 다 고,2025-06-18 11:56:24
1342608,능력있는 개발자들 중국에 다 뺏겨서 이꼴임 국내겜은,진짜 스펙좋은사람은 중국에서 빼간다더라  - dc official App,2025-06-18 11:56:10
1342607,김동건 나의 사랑 나의 빛 나의 삶,"김동건,,네가 만든 Worlds, 네가 만든 Characters,Mabinogi, Players'cheers,너의 가장 큰 Gloria Haters의 noise, 넌 mute, 네 의지는 so strong, rogigyun's Just Shadow , 더쿠's Just a spark, 너의 fight,Always right Mabinogi, 우리 의 인생, Passion, Dream , 네가 만든 Heart We're with you, in every battle, every war, Together we fight,together we renew.",2025-06-18 11:56:09
1342606,신규 심층던전 나오니까 공물은 킵하는데,은동전은 왜 킵해? 이것도 새로 쓸곳이 생기냐? 혹시 신규지역 사냥터 나옴?  - dc official App,2025-06-18 11:56:02
1342605,어비스345 욕하는 새끼들 특징,이새끼는 밤새도록 만나러감,2025-06-18 11:56:02
1342604,님들 도적패스 오늘까지임,안받은거있으면 받으삼,2025-06-18 11:56:00
1342603,통장에 140있는데,두찜 시켰음무직백수임이틀에 한끼 먹는다 치면 얼마나 더 먹음?생활비 제외,2025-06-18 11:56:00
1342602,하 이 씨발련들은 뭐 하나 만들면 다 버그있네,패키지 포인트 소멸 안내문 닫기 시도하면 계속 이거뜨고 접속안됨 오늘 하루 보지 않기 눌러도 동일현상 발생진짜 애미뒤진새끼들임,2025-06-18 11:55:54
1342601,지옥3~5 월욜에 열리는거면,목금토일은 도대체 뭘 하라는거냐???스토리도 1~2시간 딸깍이면 다 깰거고 이거 다 깨면 뭐 하는데???,2025-06-18 11:55:49
1342600,내일 흑듀오 좆량배 테이머 등장으로 스토리로도 좆될수가 있다는거임,스토리까지 조지면 ㄹㅇ 어카노 씨발3주동안 뭐했노 소리나 들을텐데동건아 잘하자,2025-06-18 11:55:43
1342599,헤일로 합성 vs 드레스 합성,하나만 하면 뭐가 더 나음,2025-06-18 11:55:38
1342598,가덩 버려야겠지,얼탱이긴함지옥 5 나오면 순살 되겠지,2025-06-18 11:55:32
1342597,내일이면 나도 전설테두리 오우너,전펫 없고 하의 에픽이라 3.6따리였는데낼 로브 받고 나도 이제 전설테두리 오우너,2025-06-18 11:55:23
1342596,마지막 업데이트가 600년전인 게임,갓겜 체스,2025-06-18 11:55:21
1342595,나오가 완장이라 생각하니 꼴림,주딱달고 우는 나오,2025-06-18 11:55:20
1342594,월간패스 살까,내일 초기화 아니냐?,2025-06-18 11:55:08
